Name,Might,Range,Description,SP
Dragonslasher+,12,2,"Effective against dragon foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",300
Silver Sword+,15,1,—,300
Laslow's Blade,16,1,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Atk/Spd/Def/Res+4 to target or targeting ally and allies within 2 spaces of unit and target or targeting ally for 1 turn after movement. (Excludes unit.)",400
Hvítrdeer,8,2,"If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk+5 to unit, inflicts Atk-5 on foe, and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.)",200
Hvítrdeer+,12,2,"If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk+5 to unit, inflicts Atk-5 on foe, and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.)",300
Quieting Branch,14,1,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit's HP ≥ 25%, inflicts Def/Res-7, Panic, and【Sabotage】 on closest foes and any foe within 2 spaces of those foes through their next actions, and inflicts【Assign Decoy】and status preventing counterattacks on foes with the lowest Def with Range = 1 and foes with the lowest Def with Range = 2 among closest foes and any foe within 2 spaces of those foes (status preventing counterattacks is through their next actions).At start of combat, if unit's HP ≥ 25%, inflicts penalty on foe's Atk/Def = 20% of unit's Res at start of combat + 6, grants Special cooldown count-2 to unit before foe's first attack, and reduces damage from foe's attacks by 20% of unit's Res during combat (excluding area-of-effect Specials), and also, if foe's attack triggers foe's Special, reduces damage from foe's attacks by 20% of unit's Res during combat (excluding area-of-effect Specials), and restores 7 HP to unit after combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and unit can counterattack regardless of foe's range.【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.【Assign Decoy】If foe's Range = unit's Range and foe initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit (that turn only; triggers only if unit is not equipped with a skill that can trigger the Savior effect).【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.",400
Heron Wing,14,1,"Grants Spd+3. At start of turn, restores 7 HP to allies within 2 spaces of unit. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, unit can move 1 extra space. (That turn only. Does not stack.) If unit transforms, grants Atk+2.",400
The Cleaner,8,2,"Grants bonus to unit’s Atk = total bonuses on foe during combat. After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",200
The Cleaner+,12,2,"Grants bonus to unit’s Atk = total bonuses on foe during combat. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",300
Hurricane Dagger,14,2,"Grants bonus to unit's Atk = total bonuses on foe during combat. At start of combat, if foe's HP ≥ 75% or 【Bonus】 is active on foe, grants Atk/Spd+5 to unit during combat.Effect:【Dagger ７】【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400
Legion's Axe,10,1,"After combat, if unit attacked, converts bonuses on foe into penalties through its next action.",200
Legion's Axe+,14,1,"After combat, if unit attacked, converts bonuses on foe into penalties through its next action.",300
Sneering Axe,16,1,"Inflicts penalty on foe's Atk/Spd/Def/Res during combat = current bonus on each of foe's stats × 2. (Example: if foe has +7 bonus to Atk, inflicts Atk-14, for a net penalty of Atk-7.) Calculates each stat penalty independently. After combat, if unit attacked, inflicts【Panic】on target and foes within 2 spaces of target.【Panic】Converts bonuses on target into penalties through its next action.",400
Bow of Twelve,14,2,"Enables【Canto (１)】.Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit initiates combat, or if unit's HP ≥ 75% at start of combat and foe uses magic or staff, grants Atk/Spd/Def/Res+5 to unit during combat, and also, if unit’s HP > 1 and foe would reduce unit's HP to 0, unit survives with 1 HP. (Once per combat. Does not stack.)【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400
Light Brand,16,1,"Grants Def+3. If foe's Def ≥ foe's Res+5, deals +7 damage.",400
Meisterbogen,9,2,"Effective against flying foes. Inflicts Spd-5. Unit attacks twice (even if foe initiates combat). When under player's control, unit gains: ""If unit initiates combat, foe cannot make a follow-up attack.""",400
Soothing Scent,14,2,"Enables【Canto (Ally 2)】.Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat, and also, if unit's Spd > foe's Spd, foe cannot counterattack. If unit's HP ≥ 25% at start of combat and unit attacks, after combat, deals 10 damage to target and foes within 2 spaces of target.【Canto (Ally 2)】After an attack, Assist skill, or structure destruction, unit can move to a space adjacent to any ally within 2 spaces.(Once per turn. Cannot attack or assist. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Granted movement treated as Warp movement.)",400
Arcane Sly Knife,14,2,"Accelerates Special trigger (cooldown count-1).At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 25% of foe's Atk at start of combat - 4 (min 5; max 14), neutralizes foe's bonuses to Spd/Def, deals damage = 15% of unit's Atk (including when dealing damage with an area-of-effect Special), reduces damage from foe's first attack by 7 (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and grants Special cooldown count-1 to unit before unit's first attack during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300
Martyr's Staff,14,2,"Calculates damage from staff like other weapons. Accelerates Special trigger (cooldown count-1; max cooldown count value cannot be reduced below 1).At start of player phase or enemy phase, if unit is within 3 spaces of an ally, grants Atk/Res+6,【Bonus Doubler】, and ""neutralizes penalties on unit during combat"" to unit and allies within 3 spaces of unit for 1 turn.If unit initiates combat or is within 3 spaces of an ally, inflicts penalty on foe's Atk/Res = 20% of unit's Res at start of combat + 6, unit deals +X × 5 damage (X = the total of the number of Bonus effects active on unit and the number of Penalty effects active on foe, excluding stat bonuses and stat penalties; max 5; excluding area-of-effect Specials; if the ""calculates damage from staff like other weapons"" effect is neutralized, damage from staff is calculated after combat damage is added), and unit makes a guaranteed follow-up attack during combat.Grants Atk/Res+5 to allies within 3 spaces of unit during combat.Grants ""if unit's HP > 1 and foe would reduce unit's HP to 0 during combat, unit survives with 1 HP and after combat, restores 99 HP to unit"" to allies within 3 spaces of unit (effect only triggers for player's team once per map and does not stack with non-Special effects that allow unit to survive with 1 HP if foe's attack would reduce unit's HP to 0; when any other such effect triggers on an ally granted this effect, this effect will trigger too).【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.",400
Safeguard,10,1,"If foe initiates combat, grants Def+7 during combat.",200
Safeguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",300
Tome of Dusk,14,2,"Enables【Canto (Rem.; Min １)】.Accelerates Special trigger (cooldown count-1).If a Rally or movement Assist skill is used by unit, grants another action to unit (once per turn).After unit acts (if Canto triggers, after Canto), grants Special cooldown count-1 to unit, and also, if the number of times unit has acted on the current turn (not counting Canto) ≤ 2, for foes with Res < unit's Res+5, triggers the following effects based on the foe's position: if foe is within 3 rows or 3 columns centered on unit, inflicts Atk/Res-7 and【Sabotage】on foe; if foe is in cardinal directions of unit, also inflicts 【Gravity】on foe (all effects are inflicted through foes' next actions).At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = number of foes within 3 rows or 3 columns centered on unit × 3, + 5 (max 14), deals damage = 20% of unit's Res (including area-of-effect Specials), and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials).【Canto (Rem.; Min １)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn (min. １; if unit used a movement skill that warped them, unit can move １ space(s)).(Once per turn. Only highest value applied. Does not stack.)【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.【Gravity】Restricts target's movement to 1 space through its next action.",400
